playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","15.2714","null","null","24","24","null","null","0.2624","null","null","null","17.7797","11.392","2.9375","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","0.8102","null","null","356","356","null","null","0.0772","null","null","null","1.7145","0","6.943","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","3.9525","null","null","224","224","null","null","0.025","null","null","null","4.6221","2.745","3.7579","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","FA","TE","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","1.7318","null","null","299","299","null","null","0.0868","null","null","null","2.3019","1.07","6.5385","null",
"89798","null","Antone Smith","RB","CHI","RB","CHI","null","0.8274","null","null","353","353","null","null","0.0257","null","null","null","1.1512","0","3.6719","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.8482","null","null","123","123","null","null","0.3539","null","null","null","9.6482","6.0327","3.9136","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","10","null","null","71","71","null","null","0","null","null","null","8.0495","0","8.8854","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","6.4677","null","null","163","163","null","null","0.2053","null","null","null","9.2306","2.9","5.0744","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","6.6672","null","null","153","153","null","null","0.137","null","null","null","7.2142","5.2996","3.7013","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","9.7382","null","null","80","80","null","null","0.2605","null","null","null","10.7328","8","4.745","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.4577","null","null","190","190","null","null","0.4248","null","null","null","6.0615","2.5","3.2048","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","8.0202","null","null","122","122","null","null","1.1192","null","null","null","10.6956","5.9","4.14","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.8628","null","null","177","177","null","null","0.2349","null","null","null","6.0996","4.58","3.6935","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.6185","null","null","185","185","null","null","0.083","null","null","null","7.216","1.3","3.0102","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","8.7417","null","null","104","104","null","null","0.6185","null","null","null","9.6039","4.3764","5.8298","null",
"100010","null","Lions","DST","DET","DST","DET","null","4.0868","null","null","218","218","null","null","null","null","null","null","4.6094","0.8","4.4371","null",
"100011","null","Packers","DST","GB","DST","GB","null","8.7701","null","null","103","103","null","null","0.3139","null","null","null","9.7676","6.0404","2.9667","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","5.9052","null","null","175","175","null","null","0.1551","null","null","null","6.9476","4.51","6.9458","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","4.2295","null","null","213","213","null","null","0.4503","null","null","null","5.7307","3.24","3.8695","null",
"100014","null","Colts","DST","IND","DST","IND","null","10","null","null","71","71","null","null","0","null","null","null","8.0495","0","8.8854","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","4.616","null","null","203","203","null","null","0.4579","null","null","null","5.7193","0.2","2.4988","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","6.3418","null","null","168","168","null","null","0.211","null","null","null","6.8766","5.5","3.7717","null",
"100017","null","Rams","DST","STL","DST","STL","null","9.4047","null","null","88","88","null","null","0.6488","null","null","null","10.4774","8.1","5.5527","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","5.4497","null","null","193","193","null","null","1.027","null","null","null","5.992","4.2","3.4829","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","6.578","null","null","158","158","null","null","0.103","null","null","null","6.9317","4.4","3.4001","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","5.6133","null","null","186","186","null","null","0.1596","null","null","null","6.9279","3.7","3.1996","null",
"100021","null","Patriots","DST","NE","DST","NE","null","6.7112","null","null","152","152","null","null","0.0886","null","null","null","7.5906","3.0738","2.477","null",
"100022","null","Saints","DST","NO","DST","NO","null","5.6374","null","null","184","184","null","null","0.0215","null","null","null","6.5302","3.5436","2.7922","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","3.4716","null","null","236","236","null","null","null","null","null","null","3.8741","0.8","6.2","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","7.0908","null","null","142","142","null","null","0.4016","null","null","null","8.1178","4.8271","3.0174","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","9.5507","null","null","84","84","null","null","0.4633","null","null","null","10.3979","7.3411","3.7609","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","8.0759","null","null","121","121","null","null","0.5204","null","null","null","9.551","7.8","3.5072","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","8.1707","null","null","118","118","null","null","0.1226","null","null","null","8.3018","3.8641","2.6537","null",
"100028","null","Chargers","DST","SD","DST","SD","null","10","null","null","71","71","null","null","0.1309","null","null","null","8.0495","0","8.8854","null",
"100029","null","49ers","DST","SF","DST","SF","null","10","null","null","71","71","null","null","0.3556","null","null","null","8.0495","0","8.8854","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","6.4823","null","null","162","162","null","null","0.0776","null","null","null","7.5249","5.2","3.2152","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","6.1829","null","null","170","170","null","null","0.191","null","null","null","6.7633","3.6","3.3168","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6.0788","null","null","173","173","null","null","0.1948","null","null","null","7.1051","3.6934","3.4008","null",
"163982","null","Will Johnson","RB","PIT","RB","PIT","null","1.1857","null","null","323","323","null","null","0.0392","null","null","null","1.8499","0","2.3839","null",
"238445","null","Frank Summers","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","1.2535","null","null","321","321","null","null","0.1135","null","null","null","1.8072","0","4.1715","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","11.9493","null","null","47","47","null","null","0.0417","null","null","null","13.9072","9.83","4.3338","null",
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","PHI","QB","PHI","null","15.4911","null","null","23","23","null","null","0.3066","null","null","null","17.8194","8.2405","3.6955","null",
"497108","null","Jimmy Clausen","QB","CHI","QB","CHI","null","0.2595","null","null","410","410","null","null","0.033","null","null","null","0.4061","0","4.2634","null",
"497117","null","Mike Kafka","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","PHI","QB","PHI","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","1.0623","null","null","332","332","null","null","0.0751","null","null","null","1.9093","0","4.2601","null",
"497135","null","Tim Tebow","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"497145","null","Joique Bell","RB","DET","RB","DET","null","5.6387","null","null","183","183","null","null","0.1561","null","null","null","6.4524","3.8029","3.2411","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","12.3219","null","null","44","44","null","null","0.2395","null","null","null","13.4275","10.43","4.0512","null",
"497172","null","Anthony Dixon","RB","BUF","RB","BUF","null","0.7552","null","null","360","360","null","null","0.0305","null","null","null","1.8107","0","4.1201","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","JAC","RB","JAC","null","1.171","null","null","324","324","null","null","0.1711","null","null","null","2.2558","0","2.3254","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","6.8211","null","null","151","151","null","null","0.257","null","null","null","8.2439","4.1497","4.0612","null",
"497190","null","Dexter McCluster","RB","TEN","RB","TEN","null","5.4549","null","null","192","192","null","null","0.1534","null","null","null","6.8471","3.8","2.8123","null",
"497192","null","Joe McKnight","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NO","RB","NO","null","6.3876","null","null","167","167","null","null","0.181","null","null","null","8.3883","3.852","8.0414","null",
"497206","null","James Starks","RB","GB","RB","GB","null","11.4461","null","null","53","53","null","null","0.7156","null","null","null","14.3815","5.4488","9.723","null",
"497208","null","Ben Tate","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","1.6375","null","null","304","304","null","null","0.2735","null","null","null","2.3041","0.89","3.9865","null",
"497226","null","Jim Dray","TE","CLE","TE","CLE","null","1.3904","null","null","314","314","null","null","0.0914","null","null","null","1.9142","0.0043","4.3881","null",
"497234","null","Garrett Graham","TE","HOU","TE","HOU","null","1.6525","null","null","303","303","null","null","0.1385","null","null","null","2.703","0.35","3.601","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","8.4707","null","null","113","113","null","null","0.5006","null","null","null","10.9752","6.33","7.7954","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","2.7766","null","null","261","261","null","null","0.2054","null","null","null","3.6769","1.8509","3.5994","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","12.6126","null","null","40","40","null","null","2.9969","null","null","null","14.6602","10.47","3.4567","null",
"497242","null","Clay Harbor","TE","JAC","TE","JAC","null","1.0536","null","null","333","333","null","null","0.0236","null","null","null","2.2854","0.14","4.3785","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0.9769","null","null","341","341","null","null","0.0615","null","null","null","1.865","-0.052","2.1971","null",
"497250","null","Anthony McCoy","TE","WAS","TE","WAS","null","0.1742","null","null","431","431","null","null","0.0152","null","null","null","0.3495","0","5.7898","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497256","null","Tony Moeaki","TE","ATL","TE","ATL","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","GB","TE","GB","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.1196","null","null","446","446","null","null","0.0179","null","null","null","0.2578","0","7.1554","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","11.3865","null","null","54","54","null","null","0.5675","null","null","null","13.4635","8.06","6.5334","null",
"497282","null","Riley Cooper","WR","PHI","WR","PHI","null","3.9626","null","null","222","222","null","null","0.006","null","null","null","5.8742","1.6","3.7846","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","9.2564","null","null","93","93","null","null","0.1289","null","null","null","10.6733","4.0497","6.7468","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0.6765","null","null","369","369","null","null","0.1184","null","null","null","1.0292","0","4.534","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","NE","WR","NE","null","9.7932","null","null","78","78","null","null","0.1734","null","null","null","11.9041","7.4864","3.5534","null",
"497312","null","Preston Parker","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"497320","null","Andre Roberts","WR","WAS","WR","WAS","null","0.9572","null","null","343","343","null","null","0.0337","null","null","null","1.8904","0.1255","3.4122","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","9.3667","null","null","90","90","null","null","0.077","null","null","null","11.4252","5.7606","4.7519","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","7.0446","null","null","145","145","null","null","0.3027","null","null","null","7.831","5.7989","3.7889","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","12.5546","null","null","42","42","null","null","0.4745","null","null","null","14.0077","10.1774","4.3266","null",
"497336","null","Damian Williams","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","CHI","WR","CHI","null","2.7216","null","null","264","264","null","null","0.1409","null","null","null","4.1286","0.6","6.3506","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","6.932","null","null","148","148","null","null","0.1767","null","null","null","10.1674","5.3506","6.2039","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","18.8783","null","null","6","6","null","null","0.9487","null","null","null","20.5768","15.296","4.2932","null",
"2495150","null","Kai Forbath","K","NO","K","NO","null","6.6274","null","null","156","156","null","null","2.8534","null","null","null","9.6501","0","9.6937","null",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","3.9608","null","null","223","223","null","null","0.0179","null","null","null","5.2715","1.9624","3.1534","null",
"2495161","null","Roy Helu","RB","OAK","RB","OAK","null","1.6262","null","null","305","305","null","null","0.1184","null","null","null","3.8487","0.04","4.204","null",
"2495162","null","Alex Henery","K","FA","K","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"2495187","null","Lance Kendricks","TE","STL","TE","STL","null","2.6316","null","null","266","266","null","null","0.1432","null","null","null","3.2034","1.79","3.3056","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","null","4.1528","null","null","216","216","null","null","0.0971","null","null","null","4.6878","3.031","4.4697","null",
"2495192","null","Greg Little","WR","FA","WR","FA","null","0.0432","null","null","459","459","null","null","0.0078","null","null","null","0.0792","0","7.9515","null",
"2495194","null","Jake Locker","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","null","13.857","null","null","31","31","null","null","0.3006","null","null","null","16.2445","10.54","6.6339","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495212","null","Austin Pettis","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","FA","WR","FA","null","0.005","null","null","471","471","null","null","0.0034","null","null","null","0.0071","0","8.2477","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.3572","null","null","398","398","null","null","0.1615","null","null","null","0.6595","0.05","6.5211","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","16.5469","null","null","15","15","null","null","0.1936","null","null","null","17.6819","12.0006","2.9039","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","2.0667","null","null","284","284","null","null","0.0651","null","null","null","2.699","0.7639","3.8349","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","8.7959","null","null","102","102","null","null","0.1084","null","null","null","9.6701","6.7567","2.6628","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","4.9838","null","null","199","199","null","null","0.2401","null","null","null","6.1852","3.37","4.3203","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","1.2559","null","null","320","320","null","null","0.0546","null","null","null","2.4666","0.21","4.0764","null",
"2495306","null","Ricardo Lockette","WR","SEA","WR","SEA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495314","null","Bruce Miller","RB","SF","RB","SF","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"2495315","null","Denarius Moore","WR","BUF","WR","BUF","null","0.1898","null","null","428","428","null","null","0.0219","null","null","null","0.3138","0","5.8216","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","1.3554","null","null","315","315","null","null","0.1038","null","null","null","2.1104","-0.0994","6.5281","null",
"2495331","null","Aldrick Robinson","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495338","null","Dane Sanzenbacher","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.4029","null","null","392","392","null","null","0.0189","null","null","null","0.5936","0.04","5.4598","null",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","null","5.4558","null","null","191","191","null","null","0.2623","null","null","null","6.2854","3.9","3.0167","null",
"2495347","null","Lee Smith","TE","OAK","TE","OAK","null","1.0285","null","null","335","335","null","null","0.0029","null","null","null","1.5529","0","2.9343","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","5.8608","null","null","178","178","null","null","0.8884","null","null","null","6.727","4.17","5.9175","null",
"2495425","null","Scott Tolzien","QB","GB","QB","GB","null","0.2176","null","null","422","422","null","null","0.0401","null","null","null","0.344","0","5.5518","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","4.3559","null","null","210","210","null","null","0.2357","null","null","null","5.9331","2.821","3.2031","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"2495443","null","Ryan Mallett","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
