playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100004","null","Panthers","DST","CAR","DST","CAR","null","8.4489","null","null","171","5","null","null","0.5367","null","null","null","9.6615","5.7","5.6349","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.6822","null","null","259","28","null","null","0.3919","null","null","null","6.156","3.6864","6.5392","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","7.868","null","null","187","7","null","null","0.1514","null","null","null","8.1059","6.5","5.6458","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","7.7275","null","null","192","8","null","null","0.1104","null","null","null","8.8166","4.8077","2.3836","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","6.8171","null","null","221","15","null","null","0.0434","null","null","null","6.9959","2.7129","5.2668","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","6.7732","null","null","224","17","null","null","0.2008","null","null","null","8.7389","4.9741","6.013","null",
"100010","null","Lions","DST","DET","DST","DET","null","7.9565","null","null","185","6","null","null","0.1587","null","null","null","9.5915","6.984","3.0866","null",
"100011","null","Packers","DST","GB","DST","GB","null","6.0677","null","null","247","24","null","null","0.1333","null","null","null","7.3562","3.6541","2.1286","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","7.5284","null","null","200","10","null","null","0.211","null","null","null","8.0511","5.5","3.8878","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6.7742","null","null","223","16","null","null","0.0192","null","null","null","8.555","5","5.3401","null",
"100014","null","Colts","DST","IND","DST","IND","null","6.0335","null","null","249","25","null","null","0.2049","null","null","null","7.3833","4.3","1.9699","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","6.8952","null","null","218","14","null","null","0.0995","null","null","null","7.9527","5.9652","5.8492","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","6.9092","null","null","217","13","null","null","0.053","null","null","null","8.127","5.0969","3.2625","null",
"100017","null","Rams","DST","STL","DST","STL","null","11.2274","null","null","104","1","null","null","2.1804","null","null","null","13.4235","9.7","6.0601","null",
